episode,time,total_flows,successful_flows,in_network_flows,dropped_flows,dropped_flows_sfc_1,dropped_flows_sfc_2,dropped_flows_sfc_3,dropped_flows_sfc_4,avg_end2end_delay,avg_end2end_delay_sfc_1,avg_end2end_delay_sfc_2,avg_end2end_delay_sfc_3,avg_end2end_delay_sfc_4
1,1000,778,649,32,97,63,13,0,21,41.96764252696456,41.985948477751755,41.983333333333334,41.666666666666664,41.92307692307692
1,2000,1550,1340,28,182,98,26,0,58,41.982835820895524,41.986857825567505,42.008,41.875,41.96756756756757
1,3000,2304,2019,30,255,140,39,0,76,41.98167409608717,41.988617886178865,41.98453608247423,41.69230769230769,41.97250859106529
1,4000,3046,2701,30,315,171,47,0,97,41.98667160310996,41.98821339950372,41.9927797833935,41.8,41.98494353826851
1,5000,3762,3363,27,372,203,52,4,113,41.98632173654475,41.99082568807339,41.98587570621469,41.77272727272727,41.982439024390246
1,6000,4438,4008,26,404,221,54,4,125,41.987774451097806,41.98997384481255,41.995215311004785,41.833333333333336,41.984276729559745
1,7000,5076,4617,28,431,234,58,4,135,41.99003682044618,41.989234909650136,41.99585921325052,41.88461538461539,41.991373589913735
1,8000,5684,5214,24,446,244,59,4,139,41.98810893747603,41.9883840109327,41.99260628465804,41.92857142857143,41.9871944121071
1,9000,6272,5791,26,455,248,60,4,143,41.98894836815749,41.989150650960944,41.993442622950816,41.916666666666664,41.988535695674834
1,10000,6834,6341,25,468,254,62,4,148,41.99006465857121,41.99011020062164,41.99541984732824,41.94871794871795,41.989089184060724
1,11000,7380,6882,23,475,258,63,5,149,41.98997384481255,41.99015033696216,41.997150997150996,41.95454545454545,41.988147497805095
1,12000,7912,7413,21,478,261,63,5,149,41.98947794415216,41.990158425348056,41.99339498018494,41.95652173913044,41.98772504091653
1,13000,8438,7933,21,484,262,63,5,154,41.98890709693685,41.990149988806806,41.99012345679012,41.95652173913044,41.98697318007663
1,14000,8962,8455,22,485,263,63,5,154,41.989237137788294,41.99035437198574,41.994219653179194,41.92156862745098,41.9870036101083
1,15000,9482,8974,22,486,264,63,5,154,41.98985959438377,41.99114347569376,41.994456762749444,41.92156862745098,41.987414965986396
