episode,time,total_flows,successful_flows,in_network_flows,dropped_flows,dropped_flows_sfc_1,dropped_flows_sfc_2,dropped_flows_sfc_3,dropped_flows_sfc_4,avg_end2end_delay,avg_end2end_delay_sfc_1,avg_end2end_delay_sfc_2,avg_end2end_delay_sfc_3,avg_end2end_delay_sfc_4
1,1000,778,746,32,0,0,0,0,0,41.5,41.49480249480249,41.48571428571429,41.75,41.5130890052356
1,2000,1550,1518,32,0,0,0,0,0,41.5,41.49736564805058,41.47770700636943,41.888888888888886,41.50620347394541
1,3000,2304,2272,32,0,0,0,0,0,41.5,41.49363507779349,41.51652892561984,41.625,41.505
1,4000,3046,3016,30,0,0,0,0,0,41.5,41.494233937397034,41.475903614457835,41.61538461538461,41.51851851851852
1,5000,3762,3733,29,0,0,0,0,0,41.499866059469596,41.49252378794744,41.47732696897375,41.588235294117645,41.520969245107175
1,6000,4438,4410,28,0,0,0,0,0,41.5,41.48983580922596,41.481404958677686,41.567567567567565,41.5244177310293
1,7000,5076,5048,28,0,0,0,0,0,41.5,41.49141483516483,41.486033519553075,41.55813953488372,41.51928020565553
1,8000,5684,5659,25,0,0,0,0,0,41.49991164516699,41.49030470914128,41.49149659863946,41.56521739130435,41.51858108108108
1,9000,6272,6246,26,0,0,0,0,0,41.5,41.488508968609864,41.49846153846154,41.55102040816327,41.519959575543204
1,10000,6834,6810,24,0,0,0,0,0,41.5,41.48983792127605,41.4985835694051,41.55102040816327,41.51752767527675
1,11000,7380,7357,23,0,0,0,0,0,41.49993203751529,41.48992652287272,41.500662251655626,41.54,41.51693099014145
1,12000,7912,7890,22,0,0,0,0,0,41.5,41.49141725352113,41.499380421313504,41.51923076923077,41.51548049859268
1,13000,8438,8416,22,0,0,0,0,0,41.5,41.49342105263158,41.49352179034158,41.51923076923077,41.51376838928706
1,14000,8962,8940,22,0,0,0,0,0,41.5,41.49272268581409,41.5,41.528301886792455,41.51276595744681
1,15000,9482,9460,22,0,0,0,0,0,41.5,41.493306436823765,41.49327817993795,41.528301886792455,41.51389353866756
1,16000,9998,9976,22,0,0,0,0,0,41.5,41.4932197496523,41.49214145383104,41.528301886792455,41.51443070091976
1,17000,10516,10494,22,0,0,0,0,0,41.5,41.4934699950405,41.49306197964847,41.528301886792455,41.51374207188161
1,18000,11052,11030,22,0,0,0,0,0,41.5,41.49338999055713,41.494791666666664,41.53703703703704,41.513256484149856
1,19000,11620,11596,24,0,0,0,0,0,41.5,41.49406995946555,41.49270664505673,41.535714285714285,41.51275720164609
1,20000,12230,12206,24,0,0,0,0,0,41.5,41.493728620296466,41.498121712997744,41.55,41.51145038167939
1,21000,12896,12868,28,0,0,0,0,0,41.5,41.495268991619355,41.496565934065934,41.52307692307692,41.50974930362117
1,22000,13624,13594,30,0,0,0,0,0,41.5,41.49545279877034,41.49440298507463,41.52857142857143,41.51034314918471
1,23000,14432,14398,34,0,0,0,0,0,41.5,41.4965953307393,41.489160644802666,41.52439024390244,41.51059864896343
1,24000,15292,15257,35,0,0,0,0,0,41.499967228157566,41.496716968091235,41.492339121552604,41.53061224489796,41.508849557522126
1,25000,16198,16161,37,0,0,0,0,0,41.49996906132046,41.497163430067644,41.492380952380955,41.565891472868216,41.50692404532102
1,26000,17138,17100,38,0,0,0,0,0,41.5,41.497683039851715,41.488351254480285,41.5503355704698,41.508186900958464
1,27000,18106,17981,37,88,57,12,1,18,41.49997219287025,41.49696018827221,41.49105621805792,41.554913294797686,41.507981755986314
1,28000,19110,18892,38,180,108,24,3,45,41.5,41.49641627106023,41.488134206219314,41.56744186046512,41.50965391621129
1,29000,20152,19840,38,274,169,33,5,67,41.5,41.497825122059474,41.48884540117417,41.531598513011154,41.50773778473309
1,30000,21238,20745,38,455,276,57,15,107,41.4999758978067,41.497795863004406,41.49261083743843,41.53291536050157,41.50575863795694
1,31000,22360,21679,39,642,393,73,27,149,41.49997693620554,41.49850287286558,41.49201741654572,41.54016620498615,41.50410958904109
1,32000,23496,22626,38,832,511,95,34,192,41.5,41.497292698019805,41.49511514305652,41.54252873563218,41.50476785993435
1,33000,24646,23513,35,1098,667,121,59,251,41.49997873516778,41.4984802431611,41.49238578680203,41.53861386138614,41.50350396099939
1,34000,25802,24402,36,1364,832,151,88,293,41.5,41.499110510211345,41.493429697766096,41.525597269624576,41.502604554249146
1,35000,26970,25299,37,1634,1005,183,111,335,41.49998023637298,41.49948857824753,41.49424552429667,41.52887537993921,41.5008761682243
1,36000,28150,26206,38,1906,1198,211,131,366,41.5,41.49967268918565,41.49690210656753,41.52049180327869,41.5
1,37000,29346,27127,37,2182,1383,233,163,403,41.49998156817931,41.49962202343455,41.496712492528395,41.52114427860697,41.49992960720822
1,38000,30556,28055,40,2461,1557,263,199,442,41.49998217786491,41.49984871406959,41.496523754345304,41.51696832579186,41.49986099527384
1,39000,31778,28996,38,2744,1767,291,222,464,41.5,41.49965043113493,41.496054114994365,41.5196770938446,41.50006855889209
1,40000,33016,29948,40,3028,1969,332,246,481,41.5,41.49955131800336,41.494415690547534,41.524469067405356,41.50027159152634
1,41000,34262,30841,35,3386,2214,382,286,504,41.49998378781492,41.5,41.49323786793954,41.52536543422184,41.49939393939394
1,42000,35514,31734,37,3743,2451,434,329,529,41.5,41.50023546648527,41.49213714874968,41.522222222222226,41.499732763228224
1,43000,36768,32630,38,4100,2700,480,369,551,41.5,41.500151821862346,41.492862509391436,41.52023988005997,41.499801140129925
1,44000,38024,33528,36,4460,2944,533,407,576,41.5,41.5001225069829,41.492063492063494,41.51877607788595,41.500395361096466
1,45000,39284,34428,36,4820,3204,572,447,597,41.5,41.49990499714991,41.492409867172675,41.517331589274036,41.50098283318045
1,46000,40548,35329,39,5180,3459,620,493,608,41.4999858473209,41.50011515961122,41.49364161849711,41.51071647274954,41.500913599582354
1,47000,41822,36238,38,5546,3719,671,535,621,41.5,41.500022364360156,41.492897406989854,41.513683010262255,41.50091003640146
1,48000,43118,37164,39,5915,3990,709,579,637,41.5,41.500173716668115,41.493298176225004,41.51160280626012,41.500646495991724
1,49000,44448,38113,39,6296,4263,746,626,661,41.499986881116676,41.500253271422544,41.49283728886038,41.51173469387755,41.50051374261495
1,50000,45806,39019,37,6750,4584,793,677,696,41.49998718573003,41.49975349219392,41.49328013439731,41.51239669421488,41.501526717557255
1,51000,47188,39941,37,7210,4897,849,727,737,41.499987481535264,41.500260489720674,41.4931169098007,41.511070110701105,41.50031434678738
1,52000,48584,40870,40,7674,5225,892,770,787,41.5,41.50089829714107,41.4920282542886,41.50507278341421,41.50062158130284
1,53000,49972,41794,41,8137,5546,926,815,850,41.5,41.500952380952384,41.492145555776496,41.50528988573847,41.500245338567225
1,54000,51350,42714,40,8596,5848,976,870,902,41.5,41.50137526018436,41.491465567981166,41.50325732899023,41.49981833595737
1,55000,52720,43630,38,9052,6156,1009,929,958,41.5,41.5013618041181,41.490993608367226,41.50527962456003,41.49946255822286
1,56000,54084,44537,38,9509,6482,1049,969,1009,41.499988773379435,41.50097604259095,41.49128853149531,41.50525920360631,41.50041288191577
1,57000,55428,45434,38,9956,6792,1081,1015,1068,41.5,41.50079861111111,41.49214163984094,41.50582665695557,41.50029046125247
1,58000,56742,46372,39,10331,7085,1105,1045,1096,41.5,41.50054340442875,41.49411104879417,41.503157894736844,41.50074464428915
1,59000,58024,47289,39,10696,7363,1132,1072,1129,41.499989426716574,41.50063060073017,41.493989273164416,41.50442477876106,41.5
1,60000,59280,48188,36,11056,7632,1154,1108,1162,41.5,41.50107156773607,41.49351598173516,41.50380668652764,41.49898830935252
1,61000,60504,49127,39,11338,7846,1178,1133,1181,41.49998982229731,41.501126376241395,41.492886727894835,41.503698938565456,41.499105945462674
1,62000,61700,50048,38,11614,8058,1196,1159,1201,41.5,41.50083788480636,41.49279743908945,41.50405996252342,41.500055561729084
1,63000,62874,50950,38,11886,8270,1211,1188,1217,41.5,41.50062247593599,41.49315549315549,41.5051703163017,41.50016609456317
1,64000,64048,51853,37,12158,8503,1227,1204,1224,41.499990357356374,41.50059470710675,41.49323386537127,41.504728132387704,41.50027548209366
1,65000,65262,52787,39,12436,8717,1257,1228,1234,41.4999905279709,41.50021808031171,41.493736056289684,41.50666666666667,41.500603136308804
1,66000,66516,53685,35,12796,9007,1284,1255,1250,41.49999068641147,41.50027052424752,41.4936300322745,41.5072546230441,41.500218197687104
1,67000,67804,54603,37,13164,9311,1302,1281,1270,41.499990842993974,41.50020905923345,41.49368580569119,41.508256367198435,41.5
1,68000,69132,55550,40,13542,9627,1326,1306,1283,41.5,41.500477242357306,41.493816844919785,41.50715859030837,41.49929843497032
1,69000,70508,56468,40,14000,10017,1349,1336,1298,41.5,41.5003070351088,41.49484707446808,41.50650759219089,41.499516596841765
1,70000,71938,57365,35,14538,10485,1365,1364,1324,41.4999912838839,41.500313889615484,41.49421869838123,41.50657012603915,41.49978614200171
1,71000,73424,58290,40,15094,10973,1386,1385,1350,41.5,41.50034589664096,41.49433032046015,41.50636604774536,41.49968105464597
1,72000,74940,59235,40,15665,11462,1404,1409,1390,41.49999155904448,41.50023839995985,41.49419080346915,41.50655479811222,41.50005284853609
1,73000,76474,60141,37,16296,11996,1430,1435,1435,41.49999168620409,41.50013530468154,41.494131072709486,41.50663544106167,41.50047293746716
1,74000,78040,61063,37,16940,12533,1449,1450,1508,41.49999181173542,41.499915514036736,41.49423607728527,41.507585497557216,41.50093867334168
